cardmarketId,quantity,name,set,cn,condition,language,isFirstEd,price,comment
315651,1,Harvest Angel of Wisdom,Structure Deck: Wave of Light,007,NM,German,True,1000.0,Daily shipping
315657,1,Athena,Structure Deck: Wave of Light,013,NM,German,True,1000.0,Daily shipping
315656,1,Splendid Venus,Structure Deck: Wave of Light,012,NM,German,True,1000.0,Daily shipping
315655,1,Archlord Kristya,Structure Deck: Wave of Light,011,NM,German,True,1000.0,Daily shipping
315650,1,"Meltiel, Sage of the Sky",Structure Deck: Wave of Light,006,NM,German,True,1000.0,Daily shipping
372826,1,Super Quantum White Layer,Dark Neostorm,013,NM,German,False,1000.0,Daily shipping
